NOME_PRODUTO,DESCRIÇÃO
MEVAMOX,ANTINFLAMATORIOS
MEVILIP,ANTILIPEMICOS
MEZOLIUM,ANTIULCEROSOS
MEZYAC,ANTIEMETICOS E ANTINAUSEANTES
MIACALCIC,HORMONIO HIPOCALCEMICO
MIALGIN,ANALGESICOS NAO NARCOTICOS
MIANTREX CS,ANTINEOPLASICOS CITOTOXICOS
MIBEFRADIL,ANTI-HIPERTENSIVOS
MIBI-TEC,
MIBO,ANTINEOPLASICOS CITOTOXICOS
MICADEN,PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES
MICARDIS,ANTI-HIPERTENSIVOS
MICARDIS ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
MICARDIS HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
MICETAL,ANTIMICOTICOS PARA USO TOPICO
MICLONAZOL,ANTIMICOTICOS PARA USO TOPICO
MICLOX,BETABLOQUEADORES SIMPLES
MICOCILIL,ANTIMICOTICOS PARA USO TOPICO
MICOFAR,ANTIMICOTICO
MICOFENOLATO DE MOFETILA,AGENTE IMUNOSUPRESSOR
MICOFENOLATO DE MOFETILA,IMUNOSUPRESSOR
MICOFENOLATO DE SODIO,AGENTE IMUNOSUPRESSOR
MICOFENOLATO DE SÓDIO,AGENTE IMUNOSUPRESSOR
MICOFENOLATO MOFETILA,AGENTE IMUNOSUPRESSOR
MICOFIM,ANTIMICOTICOS PARA USO TOPICO
MICOFIN,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
MICOFUNOX,ANTIMICOTICOS PARA USO TOPICO
MICOGYN,PRODUTOS GINECOLOGICOS TOPICOS
MICOIMMUN,IMUNOSUPRESSOR
MICOLAMINA,ANTIMICOTICOS PARA USO TOPICO
MICONAL,ANTIMICOTICOS SISTEMICOS
MICONASTIN,ANTIMICOTICO
MICONAZOL,ANTIMICOTICOS PARA USO TOPICO
MICONAZOL,ANTIMICOTICO
MICONIL,ANTIMICOTICOS PARA USO TOPICO
MICOPLEX,ESCABICIDAS E OUTROS ECTOPARASITICIDAS
MICORAL,ANTIMICOTICO
MICOSBEL,ANTIPARASITARIOS
MICOSBEM,ANTIMICOTICOS PARA USO TOPICO
MICOSIL,ANTIMICOTICO
MICOSNAT,ANTIMICOTICOS PARA USO TOPICO
MICOSPRAY,ANTISSEPTICO
MICOSTAL,ANTIMICOTICO
MICOSTALAB,ANTIMICOTICO
MICOSTATIN,ANTIMICOTICO
MICOSTEN,ANTIMICOTICO
MICOSTYL,ANTIMICOTICOS PARA USO TOPICO
MICOTARIN,ANTIMICOTICOS PARA USO TOPICO
MICOTIAZOL,ANTIMICOTICOS PARA USO TOPICO
MICOTICS,ANTIMICOTICOS PARA USO TOPICO
MICOTIN,ANTIMICOTICO
MICOTOX,ANTIMICOTICO
MICOTRAT,ANTIALERGICOS + ANTIMICOTICOS SISTEMICOS
MICOTRAT,ANTIMICOTICOS PARA USO TOPICO
MICOTRICIN,ANTI-FUNGICOS
MICOTRIN,ANTIMICOTICO
MICOZ,ANTIMICOTICO
MICOZAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS
MICOZEN,ANTIMICOTICOS PARA USO TOPICO
MICOZOL,ANTIMICOTICO
MICRODIOL,ANTICONCEPCIONAIS
MICROESFERAS DE ALBUMINA HUMANA,CONTRASTES RADIOLOGICOS
MICROLAX,LAXANTES
MICRONOR,ANTICONCEPCIONAIS
MICROPAQUE,CONTRASTES RADIOLOGICOS
MICROPAQUE COLON,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
MICROPAQUE HD ORAL,CONTRASTES RADIOLOGICOS
MICROPAQUE SCANNER,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
MICROPIL,ANTICONCEPCIONAIS
MICROSTERON,ANTICONCEPCIONAIS
MICROVACIN,VACINAS
MICROVACIN,IMUNOMODULADOR
MICROVIT,POLIVITAMINICOS SEM MINERAIS
MICROVLAR,ANTICONCEPCIONAIS
MICTASOL,ANTISSEPTICOS URINARIOS-ASSOCIACOES MEDICAMENTOSAS
MICTRIN,DIURETICOS SIMPLES
MIDACLOP,ANTIEMETICOS E ANTINAUSEANTES
MIDADORM,HIPNOTICOS
MIDAFLUT,ANTINEOPLASICO
MIDAZOLAM,HIPNOTICOS
MIDAZOLAM (PORT 344/98 L B-1),OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
MIDAZOLAM (PORT 344/98 LISTA B1),HIPNOTICOS
MIDAZOLAM (PORT 344/98 LT B1),HIPNOTICOS
MIEBRA,RELAXANTES MUSCULARES
MIELOCADE,ANTINEOPLASICOS CITOTOXICOS
MIFLASONA,OUTROS MEDICAMENTOS ANTIASMATICOS
MIFLONIDE,OUTROS MEDICAMENTOS ANTIASMATICOS
MIFLONIDE BRIZZ,OUTROS MEDICAMENTOS ANTIASMATICOS
MIGLITOL,ANTIDIABETICOS
MIGRAINEX,ANALGESICOS NAO NARCOTICOS
MIGRAL,ANALGESICOS CONTRA ENXAQUECA
MIGRALIV,ANALGESICOS CONTRA ENXAQUECA
MIGRANE,ANALGESICOS CONTRA ENXAQUECA
MIGRANETTE,ANALGESICOS
MIGREX,ANALGESICOS CONTRA ENXAQUECA
MIGROFF,ANALGESICOS CONTRA ENXAQUECA
MIKOL,ANTIMICOTICOS PARA USO TOPICO
MILAX,ANTIACIDO
MILGAMMA,MONOVITAMINAS EXCETO VITAMINA K
MILLAR,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
MILTEX,ANTINEOPLASICO
MIMPARA,ANTIPARATIREOIDEANOS
MINAZOL,ANTISSEPTICOS URINARIOS-ASSOCIACOES MEDICAMENTOSAS
MIND,ANTIDEPRESSIVOS
MINEGYL,"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS"
MINEGYL N,PRODUTO PARA TRATAMENTO DA TRICOMONIASE
MINEROVIT,VITAMINAS E SUPLEMENTOS MINERAIS
MINESSE,ANTICONCEPCIONAIS
MINIAN,ANTICONCEPCIONAIS
MINIDEX,GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
MINIDIAB,ANTIDIABETICOS
MINIGEST,ANTICONCEPCIONAIS
MINIGIN,ANTICONCEPCIONAIS
MINILAX,LAXANTES
MINIMA,ANTICONCEPCIONAIS
MINIPIL,ANTICONCEPCIONAIS
MINIPRESS,ANTI-HIPERTENSIVOS SIMPLES
MINISAL,PRODUTOS PARA DIETAS ESPECIAIS
MINODERM,CLASSE DAS TETRACICLINAS
MINOFIL,VASODILATADORES
MINOLA,BETABLOQUEADORES SIMPLES
MINOMAX,CLASSE DAS TETRACICLINAS
MINOPIN,VASODILATADORES CEREBRAIS
MINOR,ANTILIPEMICOS
MINOTON,BRONCODILATADORES
MINOXIDIL,ANTIALOPECIA
MINULET,ANTICONCEPCIONAIS
MINUPRESS,ANTI-HIPERTENSIVOS SIMPLES
MINUSORB,SUPRESSORES DA REABSORCAO OSSEA
MINÉRGI,ANTIPARKINSONIANOS
MIOCALVEN,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO
MIOCALVEN D,PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS
MIOCAMICINA,ANTIPARASITARIOS
MIOCARDIL,VASODILATADORES CEREBRAIS
MIOCOR,ANTIARRITMICOS
MIOCORON,ANTIANGINOSOS E VASODILATADORES
MIODAREN,ANTIARRITMICOS
MIODARID,ANTIARRITMICOS
MIODARON,ANTIARRITMICOS
MIODORON,MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO
MIODRINA,DEPRESSORES UTERINOS
MIOFIBRAX,RELAXANTES MUSCULARES
MIOFLEX,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
MIOFLEX A,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS
MIOFLEX A,ANTINFLAMATORIOS
MIONEVRIX,ANALGESICOS NAO NARCOTICOS
MIOPRESSIM,ANTIANGINOSOS E VASODILATADORES
MIOREX,RELAXANTES MUSCULARES
MIORRELAX,RELAXANTES MUSCULARES
MIORRELAX UNO,ANALGESICOS NAO NARCOTICOS
MIOSAN,RELAXANTES MUSCULARES
MIOSAN CAF,RELAXANTES MUSCULARES
MIOSTAT,MIOTICOS
MIPEXOL,ANTIPARKINSONIANOS
MIPRINAX,RELAXANTES MUSCULARES
MIRABEL,DESCONGESTIONATES OFTALMICOS
MIRACAL,OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO
MIRACÁLCIO  VIT  D,VITAMINAS E SUPLEMENTOS MINERAIS
MIRADOR,ANALGESICOS NAO NARCOTICOS
MIRALIS,FITOTERAPICO SIMPLES + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
MIRANOVA,ANTICONCEPCIONAIS
MIRAPEX,ANTIPARKINSONIANOS
MIRELLE,ANTICONCEPCIONAIS
MIRENA,PROGESTAGENOS SIMPLES
MIRTAX,RELAXANTES MUSCULARES
MIRTAZAPINA,ANTIDEPRESSIVOS
MIRTILO LUPER,FITOTERAPICO SIMPLES
MIRUGELL,EMOLIENTES E PROTETORES OFTALMICOS
MIRVASO - GEL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
MISACARDIO,ANTI-HIPERTENSIVOS
MISACOR,ANTI-HIPERTENSIVOS
MISCK,BLOQUEADOR NEUROMUSCULAR
MISOSTOL,ANTINEOPLASICO
MISSORT,ANTITIREOIDEANOS
MISTER BABY SABONETE,PRODUTOS NAO ENQUADRADOS EM CLASSES TERAPEUTICAS
MITAXIS,ANTINEOPLASICO
MITEXAN,PRODUTOS PARA VIAS URINARIAS
MITICOÇAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS
MITOCIN,ANTIBIOTICOS ANTINEOPLASICOS
MITOMICIN,ANTIBIOTICOS ANTINEOPLASICOS
MITOMICINA,ANTINEOPLASICO
MITOMICINA C,ANTIBIOTICOS ANTINEOPLASICOS
MITOSTATE,ANTINEOPLASICOS CITOTOXICOS
MITOTAX,ANTINEOPLASICO
MITOXAL,ANTINEOPLASICO
MITOXANTRONA,ANTINEOPLASICO
MITRIP,ANTIDEPRESSIVOS
MITRUL,RELAXANTES MUSCULARES
MIURON,ANTIBIOTICOS SISTEMICOS SIMPLES
MIVACRON,BLOQUEADOR NEUROMUSCULAR
MIWA,
MIXISTAR,REIDRATANTES PARENTERAIS
MIZOLASTINA,ANTIALERGICOS
MIZONOL,ANTIMICOTICOS PARA USO TOPICO
MM EXPECTORANTE,EXPECTORANTES BALSAMICOS E MUCOLITICO
MM XAROPE,EXPECTORANTES
MMF,IMUNOMODULADOR
MMF SÓDICO,AGENTE IMUNOSUPRESSOR
MOBALE,ANTICONVULSIVANTES
MOBEN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
MOBILAT,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
MOCLAZOM,ANTIBIOTICOS SISTEMICOS SIMPLES
MOCLOBEMIDA,ANTIDEPRESSIVOS
MOCLOXIN,ANTIDEPRESSIVOS
MODERINE,ANOREXICOS SIMPLES
MODIFICAL,ANTIEMETICOS E ANTINAUSEANTES
MODULATRI,ANTIESPASMODICOS
MODURETIC,ASSOCIACAO DE FARMACOS COM ACAO DIURETICA
MOEPLAMINA,ANTIBIOTICOS SISTEMICOS SIMPLES
MOFECELL,IMUNOSUPRESSOR
MOFILEN,IMUNOSUPRESSOR
MOFLOCIL,ANTIBIOTICOS SISTEMICOS SIMPLES
MOFYT,OUTROS PRODUTOS COM ACAO IMUNOPROTETORA
MOLGRAMOSTIMA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
MOLIDON,ANTIEMETICOS E ANTINAUSEANTES
MOLIVATE,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MOLIÈRI,ANTICONCEPCIONAIS
MOLSIDOMINA,OUTROS ANTIANGINOSOS
MOLUC,ANTIASMATICOS
MOMATE,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA
MOMEFUR,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MOMENT,ANALGESICOS
MONALESS,ANTILIPEMICOS + FITOTERAPICO SIMPLES
MONALTI,ANTIASMATICOS
MONAX,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA
MONECAST,ANTIASMATICOS
MONICIL,TUBERCULOSTATICOS
MONITRAX,ANTIMICOTICO
MONIZOL,ANTIMICOTICOS PARA USO TOPICO
MONOCAN,ANTIMICOTICOS SISTEMICOS
MONOCLATE P,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
MONOCLORIDRATO DE METOCLOPRAMIDA,ANTIEMETICOS E ANTINAUSEANTES
MONOCORDIL,NITRITOS NITRATOS E SEMELHANTES
MONOFER,ANTIANEMICOS SIMPLES
MONOFIX - VF,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
MONOLIN NPH,ANTIDIABETICOS
MONOLIN R,ANTIDIABETICOS
MONONINE,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
MONONITRATO DE ISOSSORBIDA,ANTIANGINOSOS E VASODILATADORES
MONONITRATO DE ISOSSORBIDA,VASODILATADORES
MONONITRATO DE ISOSSORBIDA,NITRITOS NITRATOS E SEMELHANTES
MONOPLUS,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
MONOPRESS,ANTI-HIPERTENSIVOS SIMPLES
MONOPRIL,ANTI-HIPERTENSIVOS SIMPLES
MONOSSULFIRAM,ESCABICIDAS E OUTROS ECTOPARASITICIDAS
MONOSSULFIRAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS
MONOTREAN,ANTIVERTIGINOSOS
MONOTREAN B6,ANTIVERTIGINOSOS
MONOXINOL,ESPERMATICIDAS TOPICOS
MONOXINOL 9,ESPERMATICIDAS TOPICOS
MONOZEN,ANTIPARASITARIOS
MONOZOL,ANTIPARASITARIOS
MONOZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
MONTELAIR,ANTIASMATICOS
MONTELUCASTE DE SODIO,ANTIASMATICOS
MONTELUCASTE DE SÓDIO,ANTIASMATICOS
MONTELUCASTE SODICO,ANTIASMATICOS
MONTELUCASTE SÓDICO,ANTIASMATICOS
MONTRICIN,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
MONTY,ANTIASMATICOS
MONURIL,ANTIBIOTICOS SISTEMICOS SIMPLES
MORATUS,ANTIDEPRESSIVOS
MORFEGIX,ANTI-FUNGICOS
MORFENIL,ANALGESICOS NARCOTICOS
MORFINA,ANALGESICOS NARCOTICOS
MORIALE DUO,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
MOROFIN,ANTIMICOTICOS PARA USO TOPICO
MORRHUINA,ASSOCIACAO HOMEOPATICAS
MOTILIUM,ANTIEMETICOS E ANTINAUSEANTES
MOTIRIDONA,ANTIEMETICOS E ANTINAUSEANTES
MOTIVEN,FITOTERAPICO SIMPLES
MOTIVOL,FITOTERAPICO SIMPLES + PSICOANALETICOS
MOTIX,MEDICAMENTOS DINAMIZADOS COMPOSTOS
MOTORE,ANTINFLAMATORIOS ANTIREUMATICOS
MOTRIN,ANTINFLAMATORIOS ANTIREUMATICOS
MOVACOX,ANTINFLAMATORIOS
MOVATEC,ANTINFLAMATORIOS
MOVINAU,ANTIEMETICOS E ANTINAUSEANTES
MOVOXICAM,ANTINFLAMATORIOS
MOXFLEGRAN,ANTIBIOTICOS SISTEMICOS SIMPLES
MOXIBACTEN,ANTIBIOTICOS SISTEMICOS SIMPLES
MOXICRIS,ANTIBIOTICOS SISTEMICOS SIMPLES
MOXIPLUS,ANTIBIOTICOS SISTEMICOS SIMPLES
MOXIVA,ANTIBIOTICOS SISTEMICOS SIMPLES
MOXOF,ANTIBIOTICOS SISTEMICOS SIMPLES
MOZOBIL,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
MS LONG,ANALGESICOS NARCOTICOS
MST CONTINUS,ANALGESICOS NARCOTICOS
MTX,ANTINEOPLASICOS CITOTOXICOS
MTX-BIG,ANTINEOPLASICO
MUCATO DE ISOMEPTANO/DIPIRONA SODICA/CAFEINA ANIDRA,ANALGESICOS
MUCATO DE ISOMETEPTENO + DIPIRONA SODICA + CAFEINA,ANALGESICOS
MUCATO DE ISOMETEPTENO + DIPIRONA SODICA + CAFEINA ANIDRA,ANALGESICOS NAO NARCOTICOS
MUCATO DE ISOMETEPTENO + DIPIRONA SODICA+CAFEINA ANIDRA,ANALGESICOS
MUCATO DE ISOMETEPTENO+DIPIRONA+CAFEÍNA,ANTIESPASMODICOS
MUCIBRON,EXPECTORANTES
MUCOANGIN,PRODUTOS PARA OROFARINGE
MUCOBRONQ,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOCETIL,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOCISTEIN,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOCLEAN,EXPECTORANTES
MUCOFAN,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOFLUX,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOLAB,EXPECTORANTES
MUCOLASA,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOLATOR,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
MUCOLIN,EXPECTORANTES SIMPLES
MUCOLITIC,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOLITIL,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOLIVRE,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOLIX,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
MUCONAT,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO
MUCOREX,EXPECTORANTES
MUCOSA COMPOSITUM,ASSOCIACAO HOMEOPATICAS
MUCOSOLVAN,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOTOSS,EXPECTORANTES
MUCOTOSS,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOTRAT,EXPECTORANTES SIMPLES
MUCOVIT,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUCOXOLAN,EXPECTORANTES
MUCXOL,EXPECTORANTES BALSAMICOS E MUCOLITICO
MUD,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MUD,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
MUD ORAL,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MULKSIN,EXPECTORANTES BALSAMICOS E MUCOLITICO
MULTAQ,ANTIARRITMICOS
MULTIBACILAR,HANSENOSTATICOS
MULTICOR,ANTIARRITMICOS
MULTIDERM,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS
MULTIELMIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
MULTIGRAM,ANTIBIOTICOS SISTEMICOS SIMPLES
MULTIGRIP,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE
MULTIGRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE
MULTIGRIP DIA,ANALGESICOS NAO NARCOTICOS
MULTIGRIP DOR E FEBRE,ANALGESICOS NAO NARCOTICOS
MULTILER,ANTIASMATICOS
MULTILITE,NUTRIENTES PARENTERAIS
MULTIMEDINE,ANTISSEPTICO
MULTIPRESSIM,ANTI-HIPERTENSIVOS
MULTIRALGIM,ANALGESICOS NAO NARCOTICOS
MULTISORO ADULTO,DESCONGESTIONANTES NASAIS TOPICOS
MULTISORO INFANTIL,DESCONGESTIONANTES NASAIS TOPICOS
MULTIVIMS PLUS,POLIVITAMINICOS COM MINERAIS
MULTIVITAM,POLIVITAMINICOS COM MINERAIS
MULTIVITAMINAS COM ZINCO ANTI-STRESS ALMEIDA PRADO,POLIVITAMINICOS COM MINERAIS
MULTIZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
MULUNGU BROMETADO,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
MUPHORAN,ANTINEOPLASICOS CITOTOXICOS
MUPIR,ANTINFECCIOSOS TOPICOS
MUPIROCINA,ANTINFECCIOSOS TOPICOS
MUPIROX,ANTIMICOTICOS PARA USO TOPICO
MURAZYME POMADA,PRODUTOS NAO ENQUADRADOS EM CLASSES TERAPEUTICAS
MURICALM,ANTI-HISTAMINICOS SISTEMICOS
MURICI,ANTINFECCIOSOS TOPICOS
MURO 128,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL
MUSA SEIVA,FITOTERAPICO COMPOSTO
MUSCORIL,RELAXANTES MUSCULARES
MUSCUFENACO,ANTINFLAMATORIOS
MUSCULARE,RELAXANTES MUSCULARES
MUSCUPRINA,RELAXANTES MUSCULARES
MUSCUSAN,RELAXANTES MUSCULARES
MUSE,VASODILATADORES
MUSLAX,RELAXANTES MUSCULARES
MUVINLAX,LAXANTES
MUVINOR,LAXANTES INCREMENTADORES DO BOLO INTESTINAL
MUXOL,EXPECTORANTES BALSAMICOS E MUCOLITICO
MVASI,ANTINEOPLASICO
MYCAMINE,ANTI-FUNGICOS
MYCOBUTIN,TUBERCULOSTATICOS
MYCOSODIUM,AGENTE IMUNOSUPRESSOR
MYCOSPOR,ANTIMICOTICOS PARA USO TOPICO
MYDFRIN,MIDRIATICOS
MYDRIACYL,MIDRIATICOS
MYDULO,ANTIDEPRESSIVOS
MYFORTIC,AGENTE IMUNOSUPRESSOR
MYLANTA DE BOLSO,ANTIACIDO
MYLANTA PLUS,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS
MYLANTA PLUS,ANTIACIDO
MYLERAN,ANTINEOPLASICO
MYLETIN,ANTIDEPRESSIVOS
MYLICON,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES
MYLOTARG,ANTINEOPLASICO
MYLVESTON,AGENTES ANTINEOPLÁSICOS
MYLZAR,ANTINEOPLASICO
MYOGRAF,IMUNOMODULADOR
MYOVIEW,PRODUTOS PARA DIAGNOSTICO POR IMAGEM
MYOVIEW,CONTRASTES RADIOLOGICOS
MYOZYME,ENZIMA PARA REPOSIÇAO
MYRAFER,VITAMINAS E SUPLEMENTOS MINERAIS
MYRASENE,FITOTERAPICO SIMPLES + LAXANTES
MYRBETRIC,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO
MYSCICLO,ANTICONCEPCIONAIS
MYTEDOM,ANALGESICOS NARCOTICOS
MYTFOR,ANTIDIABETICOS
MYTFOR LP,ANTIDIABETICOS
MYYKO LR,AGENTE IMUNOSUPRESSOR
MYZILDREM,ANTINFLAMATORIOS
Maleato de enalapril,"INIBIDORES DA ENZIMA CONVERSORA DA ANGIOTENSINA, MONODROGA"
Manitol 3%,PRODUTOS PARA VIAS URINARIAS
Mekinist,AGENTES ANTINEOPLÁSICOS
Melissa Legrand,FITOTERAPICO SIMPLES
MenQuadfi,VACINAS
Menaka,MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO
Menveo,VACINAS
Meritor,ANTIDIABETICOS
Mesotem,ANTINEOPLASICO
Metamucil,FITOTERAPICO SIMPLES + LAXANTES INCREMENTADORES DO BOLO INTESTINAL
Metfordin,ANTIDIABETICOS
Mevatyl,ANTIESPASMODICOS
Mezp,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
Micend,ANTI-FUNGICOS
Minel,COADJUVANTE NO TRATAMENTO DO CLIMATERIO
Miodon,ANTIARRITMICOS
Mircera,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
Misacor HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
Mobilisin Composto,ANTINFLAMATORIOS ANTIREUMATICOS
Modik,IMUNOMODULADOR
Molièri 20,ANTICONCEPCIONAIS
Monboc,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
Monessa,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
Monocef,ANTIBIOTICOS SISTEMICOS SIMPLES
Moriale ODT,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
Multi Polivitaminico com Minerais,POLIVITAMINICOS COM MINERAIS
Multihance,MEIOS DE CONTRASTE PARA IMAGENS DE RESSONÂNCIA MAGNÉTICA NUCLEAR
Mylla,ANTICONCEPCIONAIS
Myllcis,ANTINEOPLASICO
Myltol,ANTINEOPLASICO
Mylus,ANTICONCEPCIONAIS
Myra-K7,MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO + VITAMINA K
MÍNTI,ANTIPARASITARIOS
N-ACETILCISTEINA,ANTIDOTOS
N-ACETILCISTEINA,EXPECTORANTES BALSAMICOS E MUCOLITICO
N-BUTILBROMETO DE HIOSCINA + DIPIRONA SÓDICA,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
NAABAK,ANTIALERGICOS TOPICOS
NAAXIA,ANTIALERGICOS TOPICOS
NABUMETONA,ANTINFLAMATORIOS ANTIREUMATICOS
NAC,EXPECTORANTES BALSAMICOS E MUCOLITICO
NACADEN,MEDICAMENTOS DINAMIZADOS DE COMPONENTE ÚNICO
NACLOFAN,ANTINFLAMATORIOS
NACLOFEN,ANTINFLAMATORIOS
NACLOL,REIDRATANTES PARENTERAIS
NACTALI,ANTICONCEPCIONAIS
NADERM,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
NADIFLOXACINO,PRODUTOS ANTI-ACNE
NADIPIN,VASODILATADORES
NADROXEN,GLICOSIDEOS CARDIACOS
NAETENE,POLIVITAMINICOS COM MINERAIS
NAFAZOLINA,DESCONGESTIONATES OFTALMICOS
NAFAZOLINA + PANTENOL + CLOROBUTANOL,PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA
NAFTOL + ASSOCIAÇÕES,ANTIMICOTICOS PARA USO TOPICO
NAIRE,ANTI-HISTAMINICOS SISTEMICOS
NALDECON,ANALGESICOS NAO NARCOTICOS
NALDECON BEBÊ,ANALGESICOS NAO NARCOTICOS
NALDECON DIA,ANALGESICOS NAO NARCOTICOS
NALDECON DOR,ANALGESICOS NAO NARCOTICOS
NALDECON MULTI,ANALGESICOS NAO NARCOTICOS
NALDECON NOITE,ANALGESICOS NAO NARCOTICOS
NALDECON PACK,ANALGESICOS NAO NARCOTICOS
NALFAN,ANTINFLAMATORIOS ANTIREUMATICOS
NALFAN  PLUS,POLIVITAMINICOS SEM MINERAIS
NALFINA,ANALGESICOS NARCOTICOS
NALGESIN,ANALGESICOS NAO NARCOTICOS
NALLE,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
NALLE,FITOTERAPICO SIMPLES + OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA
NALOXON,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF
NALURIL,ANTIBIOTICOS SISTEMICOS SIMPLES
NANOTIV,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
NANTRON,ANTIEMETICOS E ANTINAUSEANTES
NAOX,OCITOCICOS NAO HORMONAIS
NAPRIX,ANTI-HIPERTENSIVOS
NAPRIX A,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
NAPRIX D,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS
